"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"CHEBI:17960","NA","NA","NA","NA","NA","0"
"CHEBI:32816","NA","NA","NA","NA","NA","0"
"CHEBI:46660","NA","NA","NA","NA","NA","0"
"CHEBI:86354","NA","NA","NA","NA","NA","0"
"C00246","NA","NA","NA","NA","NA","0"
"C00466","NA","NA","NA","NA","NA","0"
"C00810","NA","NA","NA","NA","NA","0"
"C00849","NA","NA","NA","NA","NA","0"
"C01769","NA","NA","NA","NA","NA","0"
"C02632","NA","NA","NA","NA","NA","0"
"C14440","NA","NA","NA","NA","NA","0"
"HMDB0000039","Butyric acid","HMDB0000039","264","C00246","CCCC(O)=O","1"
"HMDB0001873","Isobutyric acid","HMDB0001873","6590","C02632","CC(C)C(O)=O","1"
"HMDB0003151","NA","NA","NA","NA","NA","0"
"HMDB0003243","Acetoin","HMDB0003243","179","C00466","CC(O)C(C)=O","1"
"HMDB0030062","Methyl propionate","HMDB0030062","11124",NA,"CCC(=O)OC","1"
"HMDB0031217","Ethyl acetate","HMDB0031217","8857","C00849","CCOC(C)=O","1"
"HMDB0031507","1-Hydroxy-2-butanone","HMDB0031507","521300",NA,"CCC(=O)CO","1"
"HMDB0040253","Propyl formate","HMDB0040253","8073",NA,"CCCOC=O","1"
"HMDB0040579","Isopropyl formate","HMDB0040579","12257",NA,"CC(C)OC=O","1"
"CHEBI:15686","NA","NA","NA","NA","NA","0"
"CHEBI:15687","NA","NA","NA","NA","NA","0"
"CHEBI:15688","NA","NA","NA","NA","NA","0"
"CHEBI:16135","NA","NA","NA","NA","NA","0"
"CHEBI:19662","NA","NA","NA","NA","NA","0"
"CHEBI:27750","NA","NA","NA","NA","NA","0"
"CHEBI:30772","NA","NA","NA","NA","NA","0"
"CHEBI:41268","NA","NA","NA","NA","NA","0"
"CHEBI:46924","NA","NA","NA","NA","NA","0"
"CHEBI:47032","NA","NA","NA","NA","NA","0"
"CHEBI:48426","NA","NA","NA","NA","NA","0"
"C16364","NA","NA","NA","NA","NA","0"
"C19281","NA","NA","NA","NA","NA","0"
"C19779","NA","NA","NA","NA","NA","0"
"HMDB0029198","Dimethylurea","HMDB0029198","7293","C16364","CNC(=O)NC","1"
"CHEBI:21217","NA","NA","NA","NA","NA","0"
"CHEBI:55360","NA","NA","NA","NA","NA","0"
"CHEBI:80472","NA","NA","NA","NA","NA","0"
"C00184","NA","NA","NA","NA","NA","0"
"C00186","NA","NA","NA","NA","NA","0"
"C00256","NA","NA","NA","NA","NA","0"
"C00577","NA","NA","NA","NA","NA","0"
"C01013","NA","NA","NA","NA","NA","0"
"C01432","NA","NA","NA","NA","NA","0"
"C02154","NA","NA","NA","NA","NA","0"
"C02426","NA","NA","NA","NA","NA","0"
"HMDB0000171","NA","NA","NA","NA","NA","0"
